cohort;0;12;24;36;48;60;72;84;96;108;120;132;144;156;168;180;cod_regsaud
2009-01;16.0;10.0;10.0;8.0;7.0;7.0;7.0;7.0;6.0;6.0;6.0;4.0;4.0;3.0;3.0;3.0;12003
2010-01;26.0;19.0;15.0;15.0;12.0;13.0;12.0;11.0;9.0;9.0;8.0;7.0;7.0;7.0;8.0;;12003
2011-01;32.0;28.0;24.0;20.0;19.0;17.0;14.0;13.0;12.0;13.0;9.0;12.0;11.0;12.0;;;12003
2012-01;26.0;21.0;15.0;15.0;14.0;12.0;10.0;9.0;9.0;10.0;10.0;12.0;13.0;;;;12003
2013-01;17.0;14.0;14.0;12.0;10.0;8.0;6.0;7.0;7.0;4.0;3.0;6.0;;;;;12003
2014-01;45.0;33.0;24.0;20.0;19.0;15.0;19.0;16.0;19.0;20.0;17.0;;;;;;12003
2015-01;34.0;29.0;28.0;22.0;19.0;19.0;16.0;17.0;20.0;19.0;;;;;;;12003
2016-01;21.0;18.0;15.0;13.0;14.0;12.0;11.0;12.0;13.0;;;;;;;;12003
2017-01;27.0;17.0;17.0;16.0;15.0;13.0;14.0;15.0;;;;;;;;;12003
2018-01;43.0;37.0;34.0;25.0;25.0;26.0;27.0;;;;;;;;;;12003
2019-01;21.0;16.0;13.0;11.0;12.0;11.0;;;;;;;;;;;12003
2020-01;40.0;33.0;28.0;26.0;26.0;;;;;;;;;;;;12003
2021-01;58.0;47.0;42.0;40.0;;;;;;;;;;;;;12003
2022-01;35.0;30.0;17.0;;;;;;;;;;;;;;12003
2023-01;36.0;26.0;;;;;;;;;;;;;;;12003
2024-01;45.0;;;;;;;;;;;;;;;;12003
2009-01;70.0;51.0;51.0;49.0;45.0;39.0;37.0;41.0;44.0;38.0;41.0;41.0;35.0;35.0;33.0;31.0;12002
2010-01;60.0;49.0;46.0;42.0;39.0;40.0;36.0;35.0;34.0;33.0;32.0;32.0;33.0;28.0;28.0;;12002
2011-01;55.0;49.0;45.0;39.0;38.0;30.0;33.0;29.0;28.0;29.0;28.0;29.0;27.0;26.0;;;12002
2012-01;51.0;39.0;32.0;29.0;27.0;23.0;26.0;24.0;21.0;22.0;22.0;23.0;23.0;;;;12002
2013-01;55.0;41.0;35.0;31.0;35.0;35.0;35.0;31.0;30.0;28.0;27.0;31.0;;;;;12002
2014-01;72.0;64.0;54.0;48.0;50.0;50.0;43.0;43.0;48.0;43.0;42.0;;;;;;12002
2015-01;88.0;70.0;61.0;61.0;59.0;53.0;52.0;55.0;50.0;48.0;;;;;;;12002
2016-01;99.0;88.0;74.0;69.0;64.0;62.0;65.0;62.0;65.0;;;;;;;;12002
2017-01;50.0;40.0;33.0;30.0;28.0;31.0;33.0;33.0;;;;;;;;;12002
2018-01;85.0;69.0;65.0;63.0;62.0;56.0;57.0;;;;;;;;;;12002
2019-01;83.0;72.0;71.0;59.0;53.0;51.0;;;;;;;;;;;12002
2020-01;97.0;87.0;74.0;69.0;64.0;;;;;;;;;;;;12002
2021-01;104.0;88.0;74.0;69.0;;;;;;;;;;;;;12002
2022-01;119.0;82.0;80.0;;;;;;;;;;;;;;12002
2023-01;108.0;88.0;;;;;;;;;;;;;;;12002
2024-01;134.0;;;;;;;;;;;;;;;;12002
2009-01;15.0;9.0;10.0;9.0;9.0;11.0;12.0;8.0;9.0;10.0;9.0;8.0;8.0;7.0;6.0;5.0;12001
2010-01;9.0;5.0;4.0;3.0;3.0;2.0;4.0;3.0;2.0;2.0;2.0;3.0;3.0;5.0;4.0;;12001
2011-01;11.0;9.0;8.0;7.0;5.0;5.0;6.0;7.0;7.0;7.0;4.0;8.0;8.0;7.0;;;12001
2012-01;6.0;5.0;4.0;3.0;3.0;3.0;2.0;2.0;2.0;2.0;1.0;;;;;;12001
2013-01;4.0;3.0;3.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;;;;;12001
2014-01;14.0;13.0;10.0;5.0;6.0;5.0;6.0;9.0;8.0;8.0;8.0;;;;;;12001
2015-01;15.0;9.0;6.0;3.0;2.0;3.0;3.0;5.0;5.0;4.0;;;;;;;12001
2016-01;9.0;4.0;5.0;3.0;3.0;4.0;5.0;5.0;5.0;;;;;;;;12001
2017-01;12.0;8.0;8.0;7.0;7.0;7.0;7.0;7.0;;;;;;;;;12001
2018-01;12.0;8.0;7.0;7.0;8.0;8.0;9.0;;;;;;;;;;12001
2019-01;12.0;11.0;10.0;9.0;5.0;8.0;;;;;;;;;;;12001
2020-01;8.0;8.0;7.0;7.0;7.0;;;;;;;;;;;;12001
2021-01;16.0;14.0;14.0;12.0;;;;;;;;;;;;;12001
2022-01;11.0;6.0;5.0;;;;;;;;;;;;;;12001
2023-01;14.0;14.0;;;;;;;;;;;;;;;12001
2024-01;11.0;;;;;;;;;;;;;;;;12001
2009-01;40.0;36.0;33.0;31.0;27.0;23.0;18.0;16.0;15.0;13.0;13.0;15.0;15.0;16.0;15.0;14.0;27007
2010-01;55.0;47.0;42.0;38.0;40.0;27.0;26.0;23.0;20.0;23.0;24.0;22.0;24.0;24.0;22.0;;27007
2011-01;57.0;52.0;45.0;41.0;36.0;36.0;34.0;33.0;33.0;36.0;34.0;37.0;36.0;34.0;;;27007
2012-01;42.0;35.0;30.0;24.0;25.0;23.0;24.0;24.0;24.0;24.0;24.0;27.0;26.0;;;;27007
2013-01;62.0;45.0;42.0;36.0;35.0;37.0;32.0;33.0;31.0;29.0;30.0;29.0;;;;;27007
2014-01;94.0;85.0;82.0;73.0;66.0;58.0;55.0;50.0;53.0;55.0;58.0;;;;;;27007
2015-01;69.0;45.0;41.0;43.0;48.0;44.0;39.0;33.0;32.0;33.0;;;;;;;27007
2016-01;36.0;27.0;22.0;21.0;21.0;21.0;21.0;19.0;22.0;;;;;;;;27007
2017-01;38.0;32.0;30.0;28.0;26.0;24.0;25.0;26.0;;;;;;;;;27007
2018-01;77.0;68.0;63.0;56.0;57.0;59.0;52.0;;;;;;;;;;27007
2019-01;68.0;63.0;55.0;51.0;47.0;41.0;;;;;;;;;;;27007
2020-01;61.0;48.0;47.0;46.0;43.0;;;;;;;;;;;;27007
2021-01;101.0;81.0;72.0;66.0;;;;;;;;;;;;;27007
2022-01;140.0;126.0;103.0;;;;;;;;;;;;;;27007
2023-01;70.0;52.0;;;;;;;;;;;;;;;27007
2024-01;129.0;;;;;;;;;;;;;;;;27007
2009-01;5.0;5.0;4.0;4.0;4.0;2.0;3.0;4.0;4.0;3.0;3.0;3.0;2.0;2.0;2.0;2.0;27008
2010-01;14.0;8.0;6.0;6.0;5.0;7.0;7.0;6.0;7.0;7.0;8.0;8.0;8.0;9.0;9.0;;27008
2011-01;14.0;10.0;10.0;7.0;6.0;4.0;4.0;3.0;5.0;5.0;6.0;6.0;6.0;6.0;;;27008
2012-01;6.0;5.0;3.0;4.0;4.0;3.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;;;;27008
2013-01;10.0;8.0;6.0;7.0;7.0;4.0;5.0;4.0;5.0;5.0;4.0;5.0;;;;;27008
2014-01;16.0;12.0;12.0;12.0;10.0;10.0;10.0;10.0;11.0;10.0;10.0;;;;;;27008
2015-01;25.0;20.0;22.0;22.0;19.0;21.0;21.0;20.0;17.0;18.0;;;;;;;27008
2016-01;7.0;7.0;5.0;4.0;4.0;3.0;3.0;2.0;2.0;;;;;;;;27008
2017-01;4.0;3.0;3.0;3.0;3.0;3.0;2.0;2.0;;;;;;;;;27008
2018-01;21.0;14.0;13.0;14.0;14.0;13.0;13.0;;;;;;;;;;27008
2019-01;16.0;13.0;11.0;12.0;10.0;9.0;;;;;;;;;;;27008
2020-01;16.0;14.0;13.0;10.0;9.0;;;;;;;;;;;;27008
2021-01;26.0;18.0;20.0;15.0;;;;;;;;;;;;;27008
2022-01;27.0;23.0;23.0;;;;;;;;;;;;;;27008
2023-01;28.0;26.0;;;;;;;;;;;;;;;27008
2024-01;39.0;;;;;;;;;;;;;;;;27008
2009-01;60.0;55.0;54.0;51.0;51.0;51.0;50.0;51.0;51.0;45.0;43.0;43.0;44.0;45.0;45.0;41.0;27001
2010-01;42.0;39.0;35.0;31.0;29.0;31.0;31.0;30.0;29.0;32.0;34.0;32.0;36.0;34.0;33.0;;27001
2011-01;39.0;37.0;31.0;29.0;24.0;25.0;27.0;22.0;22.0;21.0;21.0;24.0;22.0;24.0;;;27001
2012-01;90.0;81.0;61.0;57.0;60.0;59.0;56.0;56.0;58.0;59.0;59.0;56.0;53.0;;;;27001
2013-01;63.0;46.0;41.0;36.0;33.0;32.0;36.0;33.0;30.0;33.0;31.0;31.0;;;;;27001
2014-01;121.0;107.0;95.0;79.0;69.0;74.0;77.0;81.0;74.0;74.0;74.0;;;;;;27001
2015-01;103.0;89.0;80.0;68.0;67.0;69.0;66.0;68.0;67.0;68.0;;;;;;;27001
2016-01;314.0;291.0;277.0;269.0;260.0;260.0;254.0;253.0;244.0;;;;;;;;27001
2017-01;136.0;126.0;122.0;110.0;113.0;109.0;106.0;104.0;;;;;;;;;27001
2018-01;175.0;163.0;149.0;144.0;133.0;133.0;131.0;;;;;;;;;;27001
2019-01;252.0;228.0;209.0;189.0;185.0;176.0;;;;;;;;;;;27001
2020-01;236.0;199.0;179.0;161.0;139.0;;;;;;;;;;;;27001
2021-01;375.0;325.0;287.0;262.0;;;;;;;;;;;;;27001
2022-01;329.0;291.0;248.0;;;;;;;;;;;;;;27001
2023-01;404.0;341.0;;;;;;;;;;;;;;;27001
2024-01;570.0;;;;;;;;;;;;;;;;27001
2009-01;13.0;10.0;10.0;7.0;7.0;6.0;6.0;4.0;5.0;4.0;2.0;2.0;2.0;2.0;2.0;3.0;27002
2010-01;18.0;14.0;12.0;10.0;9.0;6.0;5.0;4.0;4.0;4.0;3.0;3.0;3.0;3.0;3.0;;27002
2011-01;6.0;4.0;2.0;2.0;2.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;2.0;;;27002
2012-01;6.0;3.0;2.0;2.0;1.0;;;;;;;;;;;;27002
2013-01;11.0;10.0;8.0;6.0;6.0;4.0;5.0;5.0;5.0;3.0;3.0;4.0;;;;;27002
2014-01;16.0;11.0;8.0;6.0;4.0;4.0;4.0;5.0;5.0;7.0;6.0;;;;;;27002
2015-01;22.0;16.0;9.0;8.0;9.0;6.0;6.0;5.0;5.0;6.0;;;;;;;27002
2016-01;12.0;8.0;8.0;6.0;6.0;5.0;2.0;2.0;5.0;;;;;;;;27002
2017-01;27.0;20.0;18.0;16.0;17.0;12.0;13.0;14.0;;;;;;;;;27002
2018-01;27.0;25.0;23.0;19.0;16.0;17.0;16.0;;;;;;;;;;27002
2019-01;20.0;17.0;12.0;11.0;11.0;13.0;;;;;;;;;;;27002
2020-01;30.0;25.0;19.0;18.0;19.0;;;;;;;;;;;;27002
2021-01;68.0;58.0;56.0;56.0;;;;;;;;;;;;;27002
2022-01;36.0;33.0;33.0;;;;;;;;;;;;;;27002
2023-01;14.0;13.0;;;;;;;;;;;;;;;27002
2024-01;127.0;;;;;;;;;;;;;;;;27002
2009-01;11.0;9.0;8.0;8.0;6.0;5.0;4.0;4.0;5.0;5.0;5.0;4.0;3.0;4.0;3.0;4.0;27003
2010-01;20.0;17.0;15.0;12.0;11.0;10.0;9.0;8.0;7.0;7.0;7.0;6.0;7.0;7.0;6.0;;27003
2011-01;23.0;14.0;13.0;9.0;6.0;3.0;5.0;5.0;5.0;3.0;4.0;4.0;4.0;3.0;;;27003
2012-01;16.0;10.0;8.0;8.0;6.0;5.0;5.0;5.0;5.0;4.0;4.0;3.0;4.0;;;;27003
2013-01;25.0;17.0;14.0;9.0;8.0;7.0;6.0;6.0;4.0;6.0;6.0;8.0;;;;;27003
2014-01;11.0;8.0;7.0;6.0;6.0;5.0;5.0;5.0;4.0;3.0;4.0;;;;;;27003
2015-01;24.0;20.0;17.0;13.0;12.0;12.0;10.0;10.0;10.0;8.0;;;;;;;27003
2016-01;19.0;16.0;12.0;10.0;10.0;9.0;8.0;10.0;10.0;;;;;;;;27003
2017-01;22.0;17.0;13.0;8.0;9.0;10.0;9.0;10.0;;;;;;;;;27003
2018-01;27.0;27.0;22.0;21.0;21.0;18.0;22.0;;;;;;;;;;27003
2019-01;21.0;19.0;17.0;18.0;14.0;14.0;;;;;;;;;;;27003
2020-01;20.0;20.0;18.0;19.0;17.0;;;;;;;;;;;;27003
2021-01;61.0;57.0;48.0;44.0;;;;;;;;;;;;;27003
2022-01;26.0;22.0;21.0;;;;;;;;;;;;;;27003
2023-01;27.0;16.0;;;;;;;;;;;;;;;27003
2024-01;160.0;;;;;;;;;;;;;;;;27003
2009-01;15.0;12.0;9.0;8.0;6.0;6.0;7.0;7.0;4.0;5.0;2.0;1.0;2.0;2.0;;2.0;27006
2010-01;17.0;13.0;11.0;7.0;7.0;6.0;6.0;6.0;4.0;5.0;6.0;6.0;5.0;3.0;3.0;;27006
2011-01;23.0;15.0;13.0;12.0;13.0;8.0;6.0;6.0;5.0;5.0;5.0;4.0;3.0;4.0;;;27006
2012-01;26.0;19.0;14.0;11.0;8.0;6.0;4.0;2.0;2.0;2.0;4.0;4.0;5.0;;;;27006
2013-01;16.0;12.0;9.0;8.0;5.0;4.0;4.0;4.0;3.0;3.0;3.0;3.0;;;;;27006
2014-01;35.0;22.0;20.0;12.0;9.0;8.0;6.0;7.0;5.0;6.0;7.0;;;;;;27006
2015-01;22.0;20.0;12.0;10.0;7.0;7.0;5.0;4.0;4.0;4.0;;;;;;;27006
2016-01;25.0;13.0;9.0;6.0;6.0;3.0;6.0;7.0;5.0;;;;;;;;27006
2017-01;26.0;18.0;19.0;20.0;16.0;16.0;16.0;12.0;;;;;;;;;27006
2018-01;28.0;21.0;17.0;15.0;10.0;12.0;11.0;;;;;;;;;;27006
2019-01;43.0;37.0;34.0;27.0;25.0;23.0;;;;;;;;;;;27006
2020-01;26.0;22.0;18.0;15.0;18.0;;;;;;;;;;;;27006
2021-01;50.0;39.0;28.0;25.0;;;;;;;;;;;;;27006
2022-01;54.0;39.0;37.0;;;;;;;;;;;;;;27006
2023-01;23.0;21.0;;;;;;;;;;;;;;;27006
2024-01;70.0;;;;;;;;;;;;;;;;27006
2009-01;16.0;12.0;12.0;11.0;11.0;11.0;11.0;9.0;7.0;7.0;7.0;7.0;5.0;6.0;6.0;6.0;27005
2010-01;11.0;10.0;8.0;8.0;6.0;6.0;7.0;7.0;7.0;7.0;6.0;4.0;3.0;3.0;3.0;;27005
2011-01;17.0;15.0;11.0;9.0;12.0;9.0;8.0;6.0;6.0;6.0;6.0;5.0;5.0;6.0;;;27005
2012-01;10.0;7.0;6.0;6.0;5.0;4.0;2.0;2.0;1.0;;;;;;;;27005
2013-01;13.0;10.0;9.0;7.0;5.0;5.0;4.0;6.0;4.0;4.0;4.0;3.0;;;;;27005
2014-01;23.0;20.0;18.0;15.0;11.0;13.0;12.0;12.0;14.0;10.0;9.0;;;;;;27005
2015-01;32.0;23.0;17.0;15.0;16.0;14.0;10.0;12.0;11.0;9.0;;;;;;;27005
2016-01;25.0;20.0;13.0;12.0;12.0;12.0;11.0;9.0;9.0;;;;;;;;27005
2017-01;41.0;35.0;33.0;29.0;27.0;25.0;21.0;18.0;;;;;;;;;27005
2018-01;48.0;41.0;38.0;32.0;30.0;27.0;21.0;;;;;;;;;;27005
2019-01;22.0;21.0;18.0;15.0;12.0;12.0;;;;;;;;;;;27005
2020-01;31.0;25.0;26.0;17.0;15.0;;;;;;;;;;;;27005
2021-01;50.0;41.0;35.0;35.0;;;;;;;;;;;;;27005
2022-01;53.0;47.0;43.0;;;;;;;;;;;;;;27005
2023-01;32.0;26.0;;;;;;;;;;;;;;;27005
2024-01;66.0;;;;;;;;;;;;;;;;27005
2009-01;20.0;16.0;15.0;14.0;14.0;10.0;11.0;11.0;12.0;11.0;10.0;11.0;11.0;10.0;10.0;11.0;27009
2010-01;18.0;14.0;13.0;11.0;6.0;5.0;5.0;6.0;6.0;7.0;7.0;5.0;4.0;3.0;4.0;;27009
2011-01;17.0;15.0;11.0;9.0;8.0;7.0;5.0;4.0;3.0;4.0;4.0;3.0;3.0;3.0;;;27009
2012-01;27.0;15.0;10.0;9.0;7.0;7.0;5.0;4.0;5.0;5.0;5.0;4.0;5.0;;;;27009
2013-01;18.0;16.0;11.0;7.0;6.0;3.0;1.0;1.0;1.0;2.0;2.0;2.0;;;;;27009
2014-01;39.0;30.0;27.0;18.0;17.0;17.0;15.0;11.0;12.0;11.0;12.0;;;;;;27009
2015-01;49.0;39.0;29.0;31.0;27.0;24.0;21.0;22.0;20.0;20.0;;;;;;;27009
2016-01;18.0;10.0;7.0;8.0;8.0;7.0;8.0;8.0;9.0;;;;;;;;27009
2017-01;52.0;41.0;38.0;31.0;30.0;27.0;30.0;32.0;;;;;;;;;27009
2018-01;31.0;26.0;18.0;20.0;20.0;19.0;19.0;;;;;;;;;;27009
2019-01;32.0;29.0;26.0;22.0;19.0;19.0;;;;;;;;;;;27009
2020-01;21.0;13.0;11.0;11.0;10.0;;;;;;;;;;;;27009
2021-01;61.0;50.0;49.0;47.0;;;;;;;;;;;;;27009
2022-01;42.0;38.0;31.0;;;;;;;;;;;;;;27009
2023-01;45.0;37.0;;;;;;;;;;;;;;;27009
2024-01;47.0;;;;;;;;;;;;;;;;27009
2009-01;14.0;11.0;9.0;5.0;5.0;4.0;4.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;13008
2010-01;21.0;13.0;9.0;7.0;5.0;4.0;4.0;5.0;4.0;4.0;4.0;3.0;2.0;2.0;3.0;;13008
2011-01;24.0;16.0;11.0;8.0;4.0;4.0;5.0;4.0;4.0;5.0;4.0;3.0;4.0;4.0;;;13008
2012-01;21.0;14.0;8.0;9.0;9.0;5.0;4.0;4.0;4.0;6.0;6.0;3.0;2.0;;;;13008
2013-01;26.0;14.0;10.0;9.0;8.0;5.0;5.0;5.0;6.0;6.0;3.0;5.0;;;;;13008
2014-01;35.0;19.0;12.0;12.0;13.0;11.0;12.0;8.0;7.0;7.0;11.0;;;;;;13008
2015-01;22.0;14.0;11.0;6.0;5.0;4.0;5.0;5.0;3.0;5.0;;;;;;;13008
2016-01;19.0;11.0;8.0;6.0;6.0;4.0;4.0;4.0;3.0;;;;;;;;13008
2017-01;15.0;9.0;9.0;6.0;7.0;6.0;4.0;5.0;;;;;;;;;13008
2018-01;28.0;20.0;17.0;13.0;12.0;10.0;7.0;;;;;;;;;;13008
2019-01;27.0;20.0;16.0;12.0;10.0;10.0;;;;;;;;;;;13008
2020-01;29.0;19.0;17.0;15.0;15.0;;;;;;;;;;;;13008
2021-01;37.0;29.0;25.0;21.0;;;;;;;;;;;;;13008
2022-01;28.0;23.0;21.0;;;;;;;;;;;;;;13008
2023-01;15.0;12.0;;;;;;;;;;;;;;;13008
2024-01;59.0;;;;;;;;;;;;;;;;13008
2009-01;13.0;12.0;11.0;10.0;8.0;7.0;7.0;5.0;5.0;3.0;2.0;2.0;2.0;2.0;2.0;3.0;13002
2010-01;22.0;20.0;20.0;16.0;13.0;11.0;8.0;6.0;4.0;7.0;8.0;6.0;5.0;4.0;4.0;;13002
2011-01;27.0;22.0;15.0;14.0;14.0;13.0;10.0;11.0;8.0;8.0;9.0;8.0;8.0;8.0;;;13002
2012-01;25.0;18.0;10.0;9.0;11.0;8.0;7.0;5.0;6.0;6.0;7.0;6.0;5.0;;;;13002
2013-01;29.0;21.0;21.0;19.0;21.0;14.0;13.0;13.0;12.0;9.0;10.0;12.0;;;;;13002
2014-01;60.0;50.0;35.0;29.0;29.0;27.0;25.0;25.0;19.0;21.0;21.0;;;;;;13002
2015-01;20.0;16.0;14.0;7.0;10.0;8.0;10.0;8.0;9.0;10.0;;;;;;;13002
2016-01;50.0;41.0;28.0;30.0;26.0;25.0;24.0;24.0;26.0;;;;;;;;13002
2017-01;26.0;16.0;15.0;15.0;16.0;14.0;14.0;16.0;;;;;;;;;13002
2018-01;54.0;37.0;30.0;29.0;26.0;26.0;25.0;;;;;;;;;;13002
2019-01;36.0;30.0;26.0;25.0;27.0;25.0;;;;;;;;;;;13002
2020-01;23.0;17.0;17.0;14.0;13.0;;;;;;;;;;;;13002
2021-01;74.0;58.0;55.0;53.0;;;;;;;;;;;;;13002
2022-01;41.0;35.0;28.0;;;;;;;;;;;;;;13002
2023-01;36.0;33.0;;;;;;;;;;;;;;;13002
2024-01;82.0;;;;;;;;;;;;;;;;13002
2009-01;6.0;4.0;5.0;4.0;3.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;3.0;13006
2010-01;7.0;6.0;3.0;3.0;3.0;3.0;3.0;3.0;1.0;3.0;3.0;2.0;1.0;;2.0;;13006
2011-01;7.0;6.0;6.0;5.0;5.0;5.0;4.0;4.0;3.0;3.0;3.0;4.0;3.0;3.0;;;13006
2012-01;12.0;12.0;6.0;7.0;4.0;4.0;6.0;6.0;8.0;8.0;7.0;8.0;8.0;;;;13006
2013-01;4.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;;;;;;;;13006
2014-01;14.0;13.0;11.0;9.0;7.0;8.0;7.0;7.0;6.0;7.0;7.0;;;;;;13006
2015-01;13.0;12.0;8.0;5.0;6.0;7.0;7.0;6.0;5.0;5.0;;;;;;;13006
2016-01;8.0;6.0;4.0;4.0;5.0;4.0;2.0;3.0;3.0;;;;;;;;13006
2017-01;15.0;12.0;14.0;13.0;12.0;12.0;12.0;10.0;;;;;;;;;13006
2018-01;20.0;20.0;18.0;18.0;15.0;16.0;15.0;;;;;;;;;;13006
2019-01;28.0;28.0;22.0;20.0;19.0;18.0;;;;;;;;;;;13006
2020-01;18.0;16.0;15.0;13.0;15.0;;;;;;;;;;;;13006
2021-01;41.0;31.0;29.0;25.0;;;;;;;;;;;;;13006
2022-01;31.0;28.0;24.0;;;;;;;;;;;;;;13006
2023-01;18.0;15.0;;;;;;;;;;;;;;;13006
2024-01;36.0;;;;;;;;;;;;;;;;13006
2009-01;135.0;95.0;84.0;77.0;92.0;89.0;89.0;86.0;84.0;82.0;80.0;68.0;72.0;67.0;61.0;54.0;13001
2010-01;97.0;85.0;76.0;69.0;63.0;61.0;61.0;55.0;60.0;61.0;51.0;54.0;52.0;46.0;52.0;;13001
2011-01;91.0;85.0;75.0;66.0;61.0;52.0;48.0;52.0;49.0;47.0;44.0;45.0;43.0;45.0;;;13001
2012-01;189.0;178.0;170.0;166.0;159.0;143.0;141.0;137.0;135.0;135.0;134.0;128.0;110.0;;;;13001
2013-01;268.0;249.0;225.0;215.0;188.0;184.0;188.0;121.0;163.0;158.0;113.0;124.0;;;;;13001
2014-01;117.0;95.0;84.0;69.0;64.0;62.0;62.0;64.0;63.0;61.0;65.0;;;;;;13001
2015-01;515.0;468.0;352.0;367.0;346.0;276.0;298.0;303.0;280.0;298.0;;;;;;;13001
2016-01;206.0;177.0;159.0;137.0;123.0;136.0;131.0;123.0;125.0;;;;;;;;13001
2017-01;301.0;244.0;209.0;197.0;202.0;204.0;181.0;195.0;;;;;;;;;13001
2018-01;530.0;476.0;388.0;381.0;370.0;324.0;350.0;;;;;;;;;;13001
2019-01;515.0;459.0;416.0;395.0;369.0;366.0;;;;;;;;;;;13001
2020-01;392.0;361.0;342.0;324.0;313.0;;;;;;;;;;;;13001
2021-01;855.0;769.0;716.0;667.0;;;;;;;;;;;;;13001
2022-01;582.0;478.0;440.0;;;;;;;;;;;;;;13001
2023-01;324.0;267.0;;;;;;;;;;;;;;;13001
2024-01;911.0;;;;;;;;;;;;;;;;13001
2009-01;12.0;11.0;8.0;6.0;6.0;4.0;3.0;3.0;3.0;3.0;3.0;2.0;2.0;1.0;2.0;2.0;13009
2010-01;34.0;26.0;16.0;13.0;11.0;10.0;10.0;9.0;13.0;10.0;11.0;10.0;7.0;6.0;8.0;;13009
2011-01;19.0;16.0;14.0;8.0;6.0;7.0;5.0;4.0;4.0;3.0;5.0;4.0;3.0;3.0;;;13009
2012-01;39.0;26.0;24.0;20.0;20.0;17.0;14.0;16.0;13.0;9.0;8.0;6.0;8.0;;;;13009
2013-01;46.0;38.0;30.0;27.0;24.0;20.0;21.0;18.0;13.0;14.0;13.0;13.0;;;;;13009
2014-01;53.0;44.0;34.0;36.0;30.0;27.0;26.0;26.0;27.0;25.0;22.0;;;;;;13009
2015-01;62.0;48.0;37.0;27.0;21.0;22.0;20.0;16.0;17.0;15.0;;;;;;;13009
2016-01;41.0;29.0;26.0;19.0;20.0;13.0;13.0;13.0;14.0;;;;;;;;13009
2017-01;60.0;46.0;40.0;37.0;30.0;29.0;26.0;28.0;;;;;;;;;13009
2018-01;52.0;47.0;39.0;34.0;32.0;30.0;30.0;;;;;;;;;;13009
2019-01;44.0;35.0;32.0;27.0;26.0;26.0;;;;;;;;;;;13009
2020-01;46.0;40.0;37.0;31.0;29.0;;;;;;;;;;;;13009
2021-01;64.0;49.0;38.0;38.0;;;;;;;;;;;;;13009
2022-01;69.0;55.0;52.0;;;;;;;;;;;;;;13009
2023-01;37.0;30.0;;;;;;;;;;;;;;;13009
2024-01;78.0;;;;;;;;;;;;;;;;13009
2009-01;21.0;17.0;16.0;13.0;7.0;8.0;6.0;7.0;7.0;1.0;;4.0;4.0;3.0;4.0;4.0;13004
2010-01;26.0;21.0;21.0;17.0;13.0;14.0;12.0;14.0;11.0;10.0;13.0;11.0;10.0;8.0;9.0;;13004
2011-01;14.0;11.0;8.0;5.0;4.0;4.0;5.0;6.0;7.0;7.0;5.0;7.0;6.0;5.0;;;13004
2012-01;15.0;6.0;7.0;9.0;9.0;5.0;4.0;6.0;5.0;6.0;6.0;8.0;6.0;;;;13004
2013-01;28.0;21.0;19.0;15.0;12.0;7.0;8.0;8.0;6.0;7.0;6.0;3.0;;;;;13004
2014-01;36.0;25.0;20.0;16.0;6.0;6.0;9.0;8.0;10.0;10.0;9.0;;;;;;13004
2015-01;17.0;12.0;6.0;4.0;6.0;6.0;5.0;5.0;4.0;5.0;;;;;;;13004
2016-01;19.0;13.0;8.0;8.0;9.0;9.0;9.0;5.0;8.0;;;;;;;;13004
2017-01;27.0;24.0;23.0;19.0;17.0;15.0;15.0;18.0;;;;;;;;;13004
2018-01;29.0;23.0;23.0;21.0;18.0;18.0;14.0;;;;;;;;;;13004
2019-01;26.0;22.0;17.0;13.0;12.0;12.0;;;;;;;;;;;13004
2020-01;15.0;12.0;10.0;9.0;9.0;;;;;;;;;;;;13004
2021-01;38.0;32.0;29.0;25.0;;;;;;;;;;;;;13004
2022-01;41.0;37.0;33.0;;;;;;;;;;;;;;13004
2023-01;16.0;14.0;;;;;;;;;;;;;;;13004
2024-01;24.0;;;;;;;;;;;;;;;;13004
2009-01;64.0;53.0;48.0;42.0;35.0;30.0;28.0;26.0;23.0;20.0;18.0;17.0;19.0;19.0;18.0;20.0;29025
2010-01;59.0;48.0;39.0;32.0;28.0;24.0;25.0;23.0;24.0;22.0;23.0;21.0;17.0;15.0;16.0;;29025
2011-01;59.0;46.0;39.0;34.0;37.0;33.0;27.0;26.0;24.0;25.0;27.0;27.0;29.0;28.0;;;29025
2012-01;70.0;58.0;49.0;48.0;40.0;38.0;35.0;34.0;33.0;31.0;31.0;31.0;31.0;;;;29025
2013-01;59.0;48.0;44.0;35.0;28.0;27.0;29.0;31.0;32.0;31.0;30.0;23.0;;;;;29025
2014-01;66.0;57.0;50.0;43.0;38.0;36.0;35.0;36.0;30.0;29.0;32.0;;;;;;29025
2015-01;69.0;58.0;48.0;43.0;42.0;36.0;33.0;30.0;32.0;30.0;;;;;;;29025
2016-01;70.0;53.0;44.0;40.0;37.0;36.0;38.0;39.0;41.0;;;;;;;;29025
2017-01;76.0;62.0;51.0;52.0;51.0;48.0;48.0;53.0;;;;;;;;;29025
