;cod_regsaud;mape
0;12003;0.1503256220096756
0;12002;0.14502822398898627
0;12001;0.3522446044774579
0;27007;0.07703397731894293
0;27008;0.10743213531650295
0;27010;0.15433233085133116
0;27001;0.15600519910226265
0;27002;0.24028082183254854
0;27003;0.10506945555641788
0;27006;0.09051940254273369
0;27005;0.0855866211230884
0;27009;0.1134539475626952
0;13002;0.13982788713369343
0;13001;0.08958891745970375
0;13009;0.14247930455904256
0;13004;0.14841487376154855
0;29025;0.06433205437402134
0;29026;0.17408016115401168
0;29022;0.07464459347180363
0;29006;0.06248566706631521
0;29024;0.14090055055587838
0;29019;0.0742977904575585
0;29003;0.12296353764723846
0;29002;0.10297759404851187
0;29012;0.11659949779535297
0;29011;0.08571134792073923
0;29015;0.10929217189480026
0;29013;0.10461892368673939
0;29007;0.12331451788674258
0;29004;0.08001026252712977
0;29027;0.09059896507191238
0;29020;0.05816394883320418
0;29001;0.050515201525237544
0;29021;0.1529505877988479
0;29005;0.08115223225046977
0;29009;0.13799543689650023
0;29023;0.13371642389894461
0;29010;0.16620082781537868
0;29018;0.17529503269927688
0;29014;0.09161363346237657
0;29016;0.11275765114279274
0;29017;0.10552367104831177
0;29028;0.09127691287118629
0;23004;0.05014286706278869
0;23021;0.12999690170856337
0;23019;0.09167334516650984
0;23022;0.05324424189280414
0;23018;0.10531608520454612
0;23002;0.05531817615189042
0;23015;0.21661430487138583
0;23020;0.08272664513906944
0;23012;0.13123871891380243
0;23001;0.1099799276130747
0;23016;0.19213587038162191
0;23011;0.09084375225509153
0;23017;0.13697980547736674
0;23009;0.08630712103632174
0;23010;0.09831327522812792
0;23003;0.08279653934089858
0;23008;0.045228229358633444
0;23014;0.1583763633813746
0;23013;0.10731625141627882
0;23005;0.32576115520251536
0;52004;0.05505630347923445
0;52011;0.09876829202581287
0;52012;0.0881479550365942
0;52002;0.10145498557036321
0;52009;0.15486113771173313
0;52003;0.08455475466882664
0;52016;0.17086743760608872
0;52005;0.14226617382534473
0;52001;0.0833614981220931
0;52018;0.14592114311108617
0;52017;0.17318591458189772
0;52008;0.14111247571777777
0;52013;0.09084292045630019
0;52015;0.12306222758219003
0;52014;0.16553536397889365
0;52010;0.1325750917060339
0;52007;0.42637733484136736
0;52006;1.0
0;21001;0.11832571699071523
0;21007;0.11725950353473868
0;21014;0.08032816001788301
0;21003;0.18262211598133105
0;21013;0.07335686958545237
0;21019;0.18976185895591308
